No	카테고리	주제	한줄설명
1	워밍업/쿨다운	50대+ 탱고 워밍업 8분 루틴	발목-무릎-고관절-흉추를 부드럽게 깨우기
2	워밍업/쿨다운	밀롱가 전 2분 “발바닥 깨우기”	아치·발가락·발목 가동으로 균형감 회복
3	워밍업/쿨다운	춤 전 “어깨·목 긴장 해제” 90초	승모근 힘 빼면 포옹이 편해진다
4	워밍업/쿨다운	첫 1~2곡 ‘저강도 적응’ 원칙	초반 과열·삐끗을 예방하는 습관
5	워밍업/쿨다운	춤 후 6분 쿨다운 루틴	종아리-둔근-장요근-가슴 열기
6	부상예방	50대 무릎 보호: “엉덩이로 지지” 걷기	무릎 대신 고관절로 체중을 받는 느낌
7	부상예방	허리 편한 축 만들기(갈비뼈-골반 정렬)	요추 과신전 줄이고 안정감 높이기
8	부상예방	피벗(회전)에서 무릎 비틀림 줄이기	발 전체 회전 + 속도 낮추기
9	부상예방	“큰 동작은 컨디션 좋은 날만” 규칙	부상 위험을 낮추는 난이도 조절
10	부상예방	통증 신호등 규칙(초록/노랑/빨강)	멈춤 타이밍을 명확히 정해 지속하기
11	부상예방	발목 삐끗 방지: 착지 3원칙	발 전체·무릎 방향·시선 안정
12	부상예방	넘어짐 예방: 회전보다 ‘정지’ 훈련	파우사로 균형 회복 능력 키우기
13	부상예방	바닥이 미끄러울 때 즉시 바꾸는 3가지	보폭↓ 회전↓ 속도↓
14	부상예방	발바닥 통증(족저) 예방 습관	아치 관리 + 종아리 이완
15	부상예방	어깨 통증 없이 포옹 유지하는 팔 위치	팔로 끌지 말고 등으로 지지
16	신발/장비	50대+ 신발 선택 체크 6항목	지지력·바닥감·미끄럼·굽·발볼·무게
17	신발/장비	인솔(깔창)로 무릎/발 부담 줄이기	체중 분산과 안정성 확보
18	신발/장비	테이핑/보호대 ‘언제 쓰고 언제 빼나’	의존이 아닌 보호 목적 기준
19	신발/장비	물집/굳은살 관리로 오래 즐기기	보습-패치-휴식의 기본
20	신발/장비	밀롱가 가방 8종 세팅 리스트	물·간식·파스·여분 신발 등
21	근력/컨디션	50대 탱고의 핵심 근력: 둔근 10분	무릎 보호와 보행 안정의 중심
22	근력/컨디션	종아리 피로 줄이는 발 근육 루틴	발가락-아치 강화로 지구력↑
23	근력/컨디션	균형감각: 한발서기 30초×3세트	넘어짐 예방의 기본 체력
24	근력/컨디션	코어는 ‘복근’이 아니라 ‘복압’	숨-갈비뼈로 축 안정 만들기
25	근력/컨디션	허벅지 앞쪽 과긴장 풀기 전략	대퇴사두 과사용 줄이고 둔근 사용
26	유연성/가동성	고관절 가동성 5분(내/외회전)	피벗·걷기 부담을 낮춘다
27	유연성/가동성	흉추 회전 3동작 루틴	허리 대신 등으로 회전하기
28	유연성/가동성	장요근 이완이 보폭을 살린다	골반 정렬 회복으로 걷기 편해짐
29	유연성/가동성	발목 가동성으로 무릎 부담 감소	발목이 굳으면 무릎이 대신한다
30	유연성/가동성	목/턱 힘 빼는 호흡 연습	긴장 완화로 연결감↑
31	회복	밀롱가 다음날 ‘순환 회복’ 15분	가벼운 걷기+하체 이완
32	회복	근육통 vs 관절통 구분 체크리스트	지속·찌릿·붓기 여부로 판단
33	회복	주 1회는 “회복 중심 춤”으로	강도 낮추고 음악성·호흡에 집중
34	회복	수분·전해질 루틴 만들기	탈수는 균형/집중력을 떨어뜨린다
35	회복	수면이 실력을 저장한다(모터러닝)	배운 움직임이 밤에 정리된다
36	영양	밀롱가 전 ‘가벼운 탄수+단백’ 조합	속 편하고 지구력 유지
37	영양	혈당 급등 피하는 간식 선택	떡/빵 대신 견과·요거트 등
38	영양	카페인 타이밍과 심박 관리	흥분은 좋지만 과하면 균형이 흔들림
39	영양	알코올과 회전(피벗)의 관계	조금만 마셔도 균형감 저하 가능
40	영양	공복 밀롱가가 위험한 이유	현기증·집중력 저하 예방
41	자세/바디유즈	“세우기”보다 “길게 늘어나기”	힘으로 버티지 않는 정렬
42	자세/바디유즈	갈비뼈가 들리면 허리가 아프다	흉곽 안정으로 요추 보호
43	자세/바디유즈	체중 이동을 ‘천천히’ 하면 안전해진다	급전환이 삐끗을 만든다
44	자세/바디유즈	발을 밀지 말고 ‘놓기’로 걷기	마찰·무릎 부담 감소
45	자세/바디유즈	상체는 조용, 하체는 선명	작아도 멋있는 탱고 만들기
46	기술학습	50대+ 학습법: “짧고 자주” 루틴화	20분 연습이 2시간보다 낫다
47	기술학습	한 달에 한 가지 테마만 깊게	걷기/피벗/정지/리듬 중 선택
48	기술학습	기술보다 ‘전환(Transition)’ 연습	연결이 부드러우면 덜 다친다
49	기술학습	영상 복기 5분: 한 가지만 고치기	교정 과부하 방지
50	기술학습	레슨 후 24시간 내 복습 법칙	기억 고정을 위한 최소 반복
51	리듬/음악성	마르까또만 잡아도 춤이 안정된다	기본 박이 안전을 만든다
52	리듬/음악성	파우사(멈춤)는 50대의 무기다	무리 없이 우아함을 만든다
53	리듬/음악성	레가토 걷기: ‘이어짐’ 연습	미끄러짐이 아니라 연결감
54	리듬/음악성	싱코파는 “욕심내지 말고 한 번만”	과하면 급전환이 생긴다
55	리듬/음악성	한 곡에서 강세 3개만 찾기	과분석 없이 음악 타기
56	파트너십	좋은 파트너는 ‘안전한 속도’를 준다	상대 컨디션을 읽는 리드/팔로우
57	파트너십	포옹은 압박이 아니라 ‘지지’다	숨 쉴 공간을 남겨 편안하게
58	파트너십	리더: 회전·낙차·가속은 사전 합의	예측 가능성이 안전이다
59	파트너십	팔로워: 축이 무너지면 과감히 리셋	안전하게 멈추는 선택
60	파트너십	밀롱가에서 신뢰 쌓는 행동 5가지	부드러운 시작, 무리 금지, 감사
61	에티켓/안전	카베세오로 스트레스 줄이기	거절 부담 없이 즐기기
62	에티켓/안전	플로어크래프트 5원칙(거리/라인/정지)	충돌 예방이 최우선
63	에티켓/안전	혼잡하면 ‘작게 춤추는 멋’으로	작아도 리듬과 호흡은 크다
64	에티켓/안전	처음 가는 밀롱가: 관찰 10분 전략	플로어 흐름을 읽고 들어가기
65	에티켓/안전	향수/체취 스트레스 줄이는 실전 팁	서로 편한 환경이 행복을 만든다
66	심리/마인드	비교 대신 “오늘의 1%”로 즐기기	자존감 지키는 기준 만들기
67	심리/마인드	실수했을 때 우아하게 회복하기	멈춤-호흡-미소-재시작
68	심리/마인드	완벽주의를 내려놓는 60점 전략	꾸준함이 최고의 실력
69	심리/마인드	긴장 완화: 호흡 3번 루틴	몸이 풀리면 연결이 좋아진다
70	심리/마인드	공연/과시보다 ‘소셜’에 집중	즐거움이 오래 간다
71	행복/라이프	탱고를 주간 행복 루틴으로 설계	춤·휴식·사교 균형
72	행복/라이프	혼자 가도 편한 밀롱가 동선 만들기	인사-자리-휴식 루틴
73	행복/라이프	탱고 친구 만드는 대화 주제 10개	기술 말고 경험과 음악 이야기
74	행복/라이프	배우자/커플: 연습과 소셜 분리	싸움 대신 협력 만드는 규칙
75	행복/라이프	탱고를 ‘정서 회복’으로 쓰는 방법	몰입과 연결의 힘 활용
76	장기지속	10년 가는 탱고: 욕심 관리 시스템	과열-부상-중단 루프 끊기
77	장기지속	컨디션 3모드(좋음/보통/나쁨) 춤	그날의 몸에 맞추기
78	장기지속	쉬었다가 복귀하는 2주 플랜	강도/곡수/회전 단계적 증가
79	장기지속	레슨/프락티카/밀롱가 비율 추천	즐거움+성장+안전 균형
80	장기지속	나만의 ‘안전 베이직’ 3개 만들기	어디서나 무리 없이 춤추기
81	프락티카 운영	50대+ 프락티카는 정확도가 전부	작게, 천천히, 반복
82	프락티카 운영	파트너 연습 대화 템플릿 5문장	감정 대신 사실로 말하기
83	프락티카 운영	혼자 연습: 벽/의자 활용 루틴	장비 없이도 축·균형 훈련
84	프락티카 운영	한 번에 하나만 고치는 연습법	수정 포인트 과부하 방지
85	프락티카 운영	연습 기록 1분 노트 습관	다음 연습이 쉬워진다
86	음악감상	오케스트라별 ‘컨디션 맞춤’ 감상법	좋은 날/피곤한 날 음악 선택
87	음악감상	하루 5분 탱고 음악 듣기 습관	귀가 열리면 춤이 편해진다
88	음악감상	악기 듣기 게임(바이올린/피아노)	집중력+즐거움 동시에
89	음악감상	발로 박수치기(클랩→스텝) 훈련	앉아서도 리듬 내장
90	음악감상	음악 피로 줄이는 볼륨/휴식 팁	청각 피로가 집중력 저하
91	사회적 건강	50대의 사회적 건강을 살리는 탱고	관계·리듬·몰입의 조합
92	사회적 건강	행사 후 ‘감정 소진’ 예방 루틴	에너지 회복을 계획에 넣기
93	사회적 건강	내향인을 위한 작은 연결 전략	매번 1명과만 깊게 대화
94	사회적 건강	나이 차 파트너와 춤출 때 배려	속도·거리·난이도 조절
95	사회적 건강	커뮤니티 갈등에서 나를 지키는 법	거리두기·경계·예의
96	여행/행사	50대+ 탱고 여행: 체력/회복 설계	이동·수면·식사·휴식 우선
97	여행/행사	마라톤/페스티벌 곡수 관리 규칙	“최대 곡수”를 정해 안전 확보
98	여행/행사	시차/비행 후 다리 붓기 관리	순환 루틴으로 회복
99	자기돌봄	통증 있을 때 대체 옵션 리스트	보폭/회전/속도를 줄여 즐기기
100	자기돌봄	50대 행복 탱고 월간 점검표	몸·마음·관계·회복을 체크
